menu_item_id,item_name,category,selling_price,estimated_prep_minutes,vegetarian,vegan,gluten_free,available_for_delivery,base_popularity_weight,cold_weather_affinity,hot_weather_affinity,lunch_affinity,dinner_affinity,delivery_affinity,source_type,source_url
MI028,Caramelised Pork Rice Bowl,Rice Bowls,16.90,13,false,false,true,true,1.2,1.0,1.0,1.0,1.2,1.0,synthetic,
MI029,Beef Sirloin Rice Bowl,Rice Bowls,18.90,13,false,false,true,true,1.0,1.0,1.0,1.0,1.2,1.0,synthetic,
MI030,Tofu and Vegetable Rice Bowl,Rice Bowls,15.50,11,true,true,true,true,0.8,1.0,1.0,1.0,1.0,1.0,synthetic,
MI031,Prawn Rice Bowl,Rice Bowls,18.50,13,false,false,true,true,0.9,1.0,1.0,1.0,1.0,1.0,synthetic,
MI032,Crispy Pork Belly Rice Bowl,Rice Bowls,17.50,14,false,false,true,true,1.0,1.0,1.0,1.0,1.2,1.0,synthetic,
MI033,Grilled Pork Vermicelli Salad,Vermicelli Salad,16.50,11,false,false,true,true,1.1,1.0,1.3,1.2,1.0,1.0,synthetic,
MI034,Grilled Chicken Vermicelli Salad,Vermicelli Salad,16.50,11,false,false,true,true,1.0,1.0,1.3,1.2,1.0,1.0,synthetic,
MI035,Tofu Vermicelli Salad,Vermicelli Salad,15.50,10,true,true,true,true,0.7,1.0,1.3,1.1,1.0,1.0,synthetic,
MI036,Spring Roll Vermicelli Salad,Vermicelli Salad,16.90,12,false,false,true,true,0.9,1.0,1.2,1.1,1.0,1.0,synthetic,
MI037,Vietnamese Sharing Platter,Sharing Plates,32.00,18,false,false,false,true,0.7,1.0,1.0,1.0,1.4,1.2,synthetic,
MI038,Dumpling Sharing Platter,Sharing Plates,24.00,16,false,false,false,true,0.8,1.0,1.0,1.0,1.3,1.2,synthetic,
MI039,Vegetarian Sharing Platter,Sharing Plates,26.00,16,true,false,false,true,0.5,1.0,1.0,1.0,1.2,1.1,synthetic,
MI040,Seafood Sharing Platter,Sharing Plates,36.00,19,false,false,false,true,0.5,1.0,1.0,1.0,1.3,1.1,synthetic,
MI041,Steamed Jasmine Rice,Sides,4.50,5,true,true,true,true,1.0,1.0,1.0,1.0,1.0,1.0,synthetic,
MI042,Prawn Crackers,Sides,5.50,4,false,false,true,true,0.9,1.0,1.0,1.0,1.0,1.0,synthetic,
MI043,Pickled Daikon and Carrot,Sides,4.90,4,true,true,true,true,0.7,1.0,1.0,1.0,1.0,1.0,synthetic,
MI044,Steamed Greens with Garlic,Sides,8.50,7,true,true,true,true,0.6,1.0,1.0,1.0,1.0,1.0,synthetic,
MI045,Fried Shallot Rice,Sides,5.90,6,true,true,true,true,0.6,1.0,1.0,1.0,1.0,1.0,synthetic,
MI046,Vietnamese Iced Coffee,Drinks,5.90,4,true,false,true,true,1.3,1.1,0.9,1.0,1.0,1.0,synthetic,
MI047,Iced Coconut Coffee,Drinks,6.90,5,true,false,true,true,1.0,1.0,1.2,1.0,1.0,1.0,synthetic,
MI048,Fresh Lime Soda,Drinks,5.50,3,true,true,true,true,1.1,1.0,1.4,1.0,1.0,1.0,synthetic,
MI049,Sugar Cane Juice,Drinks,6.50,4,true,true,true,true,0.7,1.0,1.3,1.0,1.0,1.0,synthetic,
MI050,Vietnamese Iced Tea,Drinks,4.90,3,true,true,true,true,0.8,1.0,1.2,1.0,1.0,1.0,synthetic,
MI051,Soda Water,Drinks,3.50,2,true,true,true,true,0.5,1.0,1.1,1.0,1.0,1.0,synthetic,
